playlist,total,deduped,removed,m3u
Karaoke entre amis (120 titres),120,79,41,/app/playlists/reports/deduped/Karaoke_entre_amis_120_titres_deduped.m3u
Karaoké (214 titres),214,169,45,/app/playlists/reports/deduped/Karaok_214_titres_deduped.m3u
Late night electronic (110 titres),110,95,15,/app/playlists/reports/deduped/Late_night_electronic_110_titres_deduped.m3u
Latin Vibes (500 titres),500,392,108,/app/playlists/reports/deduped/Latin_Vibes_500_titres_deduped.m3u
Lecture & Détente (500 titres),500,373,127,/app/playlists/reports/deduped/Lecture__Dtente_500_titres_deduped.m3u
Lecture & focus (75 titres),75,64,11,/app/playlists/reports/deduped/Lecture__focus_75_titres_deduped.m3u
Liked Songs (Loved Tracks) (1267 titres),1267,1265,2,/app/playlists/reports/deduped/Liked_Songs_Loved_Tracks_1267_titres_deduped.m3u
Live & Concerts (500 titres),500,349,151,/app/playlists/reports/deduped/Live__Concerts_500_titres_deduped.m3u
Marche active (120 titres),120,83,37,/app/playlists/reports/deduped/Marche_active_120_titres_deduped.m3u
Mariage (110 titres),110,74,36,/app/playlists/reports/deduped/Mariage_110_titres_deduped.m3u
Matin good vibes (100 titres),100,44,56,/app/playlists/reports/deduped/Matin_good_vibes_100_titres_deduped.m3u
Mes favoris (101 titres),101,58,43,/app/playlists/reports/deduped/Mes_favoris_101_titres_deduped.m3u
Mes titres Shazam ok (89 titres),89,89,0,/app/playlists/reports/deduped/Mes_titres_Shazam_ok_89_titres_deduped.m3u
Mix concentration (45 titres),45,30,15,/app/playlists/reports/deduped/Mix_concentration_45_titres_deduped.m3u
Mix humeur deep focus (140 titres),140,119,21,/app/playlists/reports/deduped/Mix_humeur_deep_focus_140_titres_deduped.m3u
Mix humeur happy (120 titres),120,108,12,/app/playlists/reports/deduped/Mix_humeur_happy_120_titres_deduped.m3u
Mix humeur intense (120 titres),120,103,17,/app/playlists/reports/deduped/Mix_humeur_intense_120_titres_deduped.m3u
Mix humeur sad (120 titres),120,103,17,/app/playlists/reports/deduped/Mix_humeur_sad_120_titres_deduped.m3u
Mix humeur sensuel (100 titres),100,75,25,/app/playlists/reports/deduped/Mix_humeur_sensuel_100_titres_deduped.m3u
Mix humeur sleep (140 titres),140,106,34,/app/playlists/reports/deduped/Mix_humeur_sleep_140_titres_deduped.m3u
Mix énergique (50 titres),50,39,11,/app/playlists/reports/deduped/Mix_nergique_50_titres_deduped.m3u
Mojito sunset (187 titres),187,187,0,/app/playlists/reports/deduped/Mojito_sunset_187_titres_deduped.m3u
Mojito sunset (31 titres),31,24,7,/app/playlists/reports/deduped/Mojito_sunset_31_titres_deduped.m3u
Mojito sunset (58 titres),58,39,19,/app/playlists/reports/deduped/Mojito_sunset_58_titres_deduped.m3u
Mystique & Spirituel (329 titres),329,229,100,/app/playlists/reports/deduped/Mystique__Spirituel_329_titres_deduped.m3u
Mélancolie (500 titres),500,321,179,/app/playlists/reports/deduped/Mlancolie_500_titres_deduped.m3u
Ménage boost (120 titres),120,57,63,/app/playlists/reports/deduped/Mnage_boost_120_titres_deduped.m3u
Nostalgie (500 titres),500,353,147,/app/playlists/reports/deduped/Nostalgie_500_titres_deduped.m3u
Nuit Profonde (500 titres),500,267,233,/app/playlists/reports/deduped/Nuit_Profonde_500_titres_deduped.m3u
Nuit calme (100 titres),100,78,22,/app/playlists/reports/deduped/Nuit_calme_100_titres_deduped.m3u
Pluie & Mélancolie (500 titres),500,263,237,/app/playlists/reports/deduped/Pluie__Mlancolie_500_titres_deduped.m3u
Pluie du soir (30 titres),30,17,13,/app/playlists/reports/deduped/Pluie_du_soir_30_titres_deduped.m3u
Pool party (120 titres),120,103,17,/app/playlists/reports/deduped/Pool_party_120_titres_deduped.m3u
Pop FR (10 titres),10,9,1,/app/playlists/reports/deduped/Pop_FR_10_titres_deduped.m3u
